Group,People,Members,Segment,Roles,Mappings
GHO_GF_LAND_SDGRE_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_REPORTING_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_TAX_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_TREASURY_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GF_UPMY_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_ANALYTICS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_GHC_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_HRHO_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_HROD_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_IRC_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_LND_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_NHRIS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_OCWS_ANS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_OCWS_IFM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_OCWS_OCT_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_PAYROLL_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_PERFORMANCE_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_REWARDS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_TA_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_THECREST_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_TM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GHR_TS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_GCAIT_ANALYTICS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_GCA_SDGI_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_GCA_UPMY_RDHO_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_GIG_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_GRCRM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GIGA_PM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GLRC_GCO_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GLRC_LEGAL_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GLRC_RISK_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_CLIMATE_CR_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_CNB_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_GLOBALHSE_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_SC_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_SDGI HSE_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_GS_SSC_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_SPDNSTRM_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_SPMID_INVT_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_SP_MY_ID_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_SP_PNGSI_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_SP_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
GHO_PO_STRATGOV_COMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Group Head Office,Uploader — Highly Confidential cleared,1
MHO_CC_CSR_OPSCOMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CC_INEXCOMMS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CEOOA_EXPATF_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CEOOA_GABM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CS_GOVTREL_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CS_LANDREL_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CS_LOS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CS_MSR_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_CS_PARTDEV_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GA_AM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GA_GL_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GA_HCONSOL_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GA_TAX_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GCA_DIINVESTN_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GCA_EOOPS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GCA_PMOPS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GCA_PM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GCO_GCO_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GIG_GIG_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_GRM_GRM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_HRM_HRBP_IR_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_HRM_HRRSP_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_HRM_ODTM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_ITS_BADEV_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_ITS_INFRA_ITS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_ITS_SAPSTRATPD_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_LCS_COSEC_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_LCS_LEGAL_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_PMUM_MEC_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_PMUM_PMU_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_PNE_ENGINEERING_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_PNE_PROD_OPS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_POP_ER_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_POP_MILLR_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_POP_MR_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_POP_TFO_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SC_LOGS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SC_PROC_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SUS_ESG_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SUS_HMS_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SUS_HSE_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_SUS_QM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_TAX_TAX_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_TREAS_AP_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_TREAS_FO_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_TREAS_INSURM_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_TREAS_PAYMENT_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_UPPROD_UPPROD_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
MHO_VCVT_VCVT_UPL_HIGHLY_CONFIDENTIAL,0,,Minamas Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_CDS_UPSUPPORT_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_EMS_ES_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_FIN_REPORTING_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_FIN_TAX_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_GCA_GCA_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_HR_HRMIS_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_HR_HROPS_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_HR_MA_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_HR_ST_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_HR_TRAVEL_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_IT_IT_AD_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_IT_IT_SAP_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_Land_LM_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_Land_SURVEYING_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_LGL_LGL_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_PMU_PMU_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_PROC_CO_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_SUS_CERT_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_SUS_ESH_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
NBPOLHO_TF_TF_UPL_HIGHLY_CONFIDENTIAL,0,,NBPOL Head Office,Uploader — Highly Confidential cleared,1
